School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
17-18,Elementary School,152,Ivanetta H. Davis Learning Center at Bordeaux,7010,37218,42,134,,,,,,,,,,,,,,2,4,140,7,,23,86,90,97,50,,36.1915875124,-86.832635707,"(36.1915875124, -86.832635707)"
17-18,Middle School,130,Bellevue Middle,40,37221,,,,,,,,168,176,148,141,,,,,1,35,203,65,1,328,326,307,192,91,62,36.0707487921,-86.9348203609,"(36.0707487921, -86.9348203609)"
17-18,Elementary School,308,Fall-Hamilton Elementary,220,37203,6,55,68,58,45,43,43,,,,,,,,,,3,206,60,,49,174,144,172,62,41,36.1334718393,-86.7662062825,"(36.1334718393, -86.7662062825)"
17-18,Middle School,498,John F. Kennedy Middle,393,37013,,,,,,,,199,200,207,192,,,,,,22,362,261,,153,397,401,314,80,271,36.0554667904,-86.6006047025,"(36.0554667904, -86.6006047025)"
17-18,Charter,457,Intrepid College Prep Charter,8048,37013,,,,,,,,119,120,90,85,80,,,,,7,101,302,,84,248,246,211,43,264,36.0501591002,-86.6457200764,"(36.0501591002, -86.6457200764)"
17-18,Middle School,770,West End Middle,690,37205,,,,,,,,143,115,114,122,,,,,1,23,217,26,1,226,262,232,131,107,22,36.131974712,-86.8243226532,"(36.131974712, -86.8243226532)"
17-18,Elementary School,175,Caldwell Elementary,80,37207,1,19,39,41,36,57,52,,,,,,,,,1,1,231,9,,3,133,112,201,34,29,36.1783097577,-86.769001134,"(36.1783097577, -86.769001134)"
17-18,Charter,508,Lead Academy,8003,37208,,,,,,,,,,,,152,106,97,47,,8,191,156,,47,201,201,185,51,105,36.1478854755,-86.7639512965,"(36.1478854755, -86.7639512965)"
17-18,GATE Center,665,Robertson Academy Gifted School,90001,37220,12,42,,,,,,,,,,,,,,,2,4,1,,47,25,29,,1,,36.0818019144,-86.7763825924,"(36.0818019144, -86.7763825924)"
17-18,Elementary School,560,Dan Mills Elementary,160,37216,4,30,93,114,96,88,99,,,,,,,,,1,11,83,75,2,352,276,248,111,52,42,36.2186382608,-86.7170839527,"(36.2186382608, -86.7170839527)"
17-18,Elementary School,165,Buena Vista Elementary,70,37208,1,33,56,46,57,46,38,,,,,,,,,1,,254,13,1,8,133,144,249,51,6,36.1777411585,-86.7981380508,"(36.1777411585, -86.7981380508)"
17-18,Charter,512,KA @ The Crossings MS,8105,37013,,,,,,,,71,78,34,24,,,,,,2,80,73,,52,98,109,94,20,99,36.0450664576,-86.6515834105,"(36.0450664576, -86.6515834105)"
17-18,Elementary School,320,Glencliff Elementary,240,37211,1,41,106,100,90,107,98,,,,,,,,,,16,49,384,1,93,272,271,285,42,299,36.101625851,-86.7230998317,"(36.101625851, -86.7230998317)"
17-18,Middle School,260,Donelson Middle,175,37214,,,,,,,,214,190,184,190,,,,,3,16,364,132,1,262,389,389,374,117,133,36.1667225726,-86.656336234,"(36.1667225726, -86.656336234)"
17-18,Middle School,555,Meigs Middle,330,37206,,,,,,,,167,172,171,167,,,,,,66,173,41,,397,314,363,55,34,21,36.1763639882,-86.760880188,"(36.1763639882, -86.760880188)"
17-18,Charter,687,Smithson Craighead Academy,8001,37115,,,31,31,38,34,42,,,,,,,,,,,81,92,,3,90,86,101,21,62,36.2510250701,-86.6966199613,"(36.2510250701, -86.6966199613)"
17-18,Charter,504,KIPP Nashville Collegiate High School,8011,37207,,,,,,,,,,,,122,92,57,56,,2,222,90,,13,156,171,148,39,25,36.1947984072,-86.7691857847,"(36.1947984072, -86.7691857847)"
17-18,Elementary School,375,Alex Green Elementary,5,37189,4,36,50,52,42,59,60,,,,,,,,,1,2,249,34,,17,152,151,236,37,26,36.2529606982,-86.8322291988,"(36.2529606982, -86.8322291988)"
17-18,Elementary School,640,Pennington Elementary,565,37214,1,20,45,57,60,47,63,,,,,,,,,2,12,45,65,1,168,152,141,111,36,52,36.2033663873,-86.6814273247,"(36.2033663873, -86.6814273247)"
17-18,Elementary School,735,Una Elementary,655,37217,2,42,162,156,142,135,148,,,,,,,,,,22,268,239,,258,405,382,392,74,330,36.0950303613,-86.6528803773,"(36.0950303613, -86.6528803773)"
17-18,Middle School,551,Thurgood Marshall Middle,633,37013,,,,,,,,259,235,240,196,,,,,1,62,375,315,2,175,482,448,363,143,320,36.0223005992,-86.6612707661,"(36.0223005992, -86.6612707661)"
17-18,Elementary School,717,Tulip Grove Elementary,637,37076,12,34,87,95,92,99,114,,,,,,,,,5,22,164,135,1,206,271,262,219,95,93,36.1984960718,-86.610888928,"(36.1984960718, -86.610888928)"
